language.English|language.hlCode|language.google|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|topic.26|topic.27|topic.28|topic.29|topic.30|topic.31|topic.32|topic.33|topic.34|topic.35|topic.36|topic.37|topic.38|topic.39|topic.40|topic.41|topic.42|topic.43|topic.44|topic.45|topic.46|topic.47|topic.48|topic.49|topic.50|topic.51|topic.52|topic.53|topic.54|topic.55|topic.56|topic.57|topic.58|topic.59|topic.60|topic.61|menu.see|menu.watch|menu.select|question.1|question.2|question.3|question.4|question.5|menu.other_videos
Sanskrit||sa||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Scots Gaelic||gd|An Toiseach|Breith Iosa|Leanabas Iosa|Baisteadh Iosa le Eoin|Tha an Diabhal a’ buaireadh Iosa|Tha Iosa ag ainmeachadh gu bheil e air a choileanadh den Sgriobtar agus air a dhiùltadh|Cosamhlachd Iosa am Phairiseach agus an Neach-cruinneachaidh Cìse|Glacadh Iasg Miracle Ìosa|Iosa a' toirt Nighean Mharbh Jairus air ais beò|Tha Iosa a’ taghadh a dheisciobail|Beannachdan Iosa|Searmonachadh air sliabh Iosa|Is beannaichte iadsan a chluinneas agus a dh’èisdeas|Tha Iosa a’ Maitheanas Boireannach Peacach|Boireannaich deisciobail Iosa|Eoin Baiste anns a' phrìosan|Cosamhlachd Iosa mun t-Seoladair agus an t-Sìol|Cosamhlachd Iosa an Lampa|Tha Iosa a’ Socrachadh an Stoirm|Tha Iosa a’ slànachadh Demoniac|Bidh Iosa a 'biathadh an 5,000|Tha Peadar ag ainmeachadh gur e Iosa an Crìosd|Atharrachadh Iosa|Tha Iosa a’ slànachadh Balach bhon Spiorad olc|Urnuigh an Tighearna|Tha Iosa a' Teagasg Mu Ùrnaigh agus Creideamh|Is an‑aoibhinn dhaibhsan a dh’ adhbharaicheas daoine eile peacachadh|Rìoghachd Dhè mar shìol Mustard|Bidh Iosa a’ caitheamh ùine còmhla ri peacaich|Slànachadh air Sàbaid na Boireann air a Chriothachadh le Spiorad uilc|Cosamhlachd an t-Samaritanaich mhaith|Slànachadh nan Dall Beggar, Bartimeus|Iosa agus Sacheus|Tha Iosa a' ro-innse a bhàis agus a aiseirigh|Inntrigeadh Buadhach Ìosa - Didòmhnaich na Pailme|Iosa a 'caoineadh thar Ierusalem|Tha Iosa a’ Gluasad Luchd-atharrachaidh Airgead bhon Teampall|Tabhartas na Bantraich|Annas Ceistean Ùghdarras Iosa|Cosamhlachd Ìosa mun Fhìon-lios & Luchd-gabhail|A' pàigheadh ​​chìsean do Cheasar|An Suipeir Dheireannach|Teagasg Seòmar Uarach Ìosa|Iudas a' brath Iosa ; Iosa air a chur an grèim|Tha Peadar ag àicheadh ​​Iosa trì tursan|Bidh geàrdan a’ magadh air Ìosa; Iosa air a Cheasnachadh le Comhairle Creideimh|Iosa air a thoirt gu Pilat|Iosa air a thoirt gu Herod|Tha Iosa air a chuipeadh & air a chuir gu bàs|Iosa a' giùlan a Chrois; Air sgàth Dolorosa|Iosa air a Cheusadh|Saighdearan a' Gamble airson Aodach Ìosa|Soidhne air a’ Chrois: Rìgh nan Iùdhach|Eucoraich a chaidh a Cheusadh air chall agus air an sàbhaladh|Bàs Iosa|Ioseph o Arimatea agus adhlacadh Iosa|Ainglean aig an uaigh|Tha uaigh Iosa falamh|Iosa aiseirigh a' nochdadh d'a dheisciobluibh|Tha Iosa a 'toirt Coimisean Mòr agus a' dol suas gu Nèamh|Cuireadh gu eòlas air Iosa gu pearsanta|Faic na thuirt Iosa|Luchdaich a-nuas am film JESUS|Tagh earrann|Dè tha seo ag innse dhut mu Iosa?|Dè tha seo ag innse dhut mu Dhia?|Dè tha seo ag innse dhut mu dhaoine?|Ma tha seo fìor, dè an diofar a dhèanadh e nad bheatha?|Cò na còignear as urrainn dhut na lorg thu a cho-roinn leotha?|Bhideothan Eile
Sepedi||nso||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Serbian|sdd00|sr|Тхе Бегиннинг|Рођење Исусово|Исусово детињство|Крштење Исусово од Јована|Ђаво искушава Исуса|Исус објављује своје испуњење Светог писма и одбацује се|Исусова парабола о фарисеју и царинику|Исусов чудесни улов рибе|Исус враћа Јаирову мртву кћер у живот|Исус бира своје ученике|Блаженства Исусова|Проповед на гори Исусовој|Благо онима који слушају и послушају|Исус опрашта грешној жени|Жене Исусове ученице|Јована Крститеља у затвору|Исусова парабола о сејачу и семену|Исусова парабола о лампи|Исус смирује олују|Исус исцељује демона|Исус храни 5.000|Петар проглашава Исуса Христом|Исусово Преображење|Исус исцељује дечака од злог духа|Молитва Господња|Исус учи о молитви и вери|Тешко онима који наводе друге на грех|Царство Божије као горушичино зрно|Исус проводи време са грешницима|Исцељење у суботу жене осакаћене злим духом|Парабола о милосрдном Самарићанину|Исцељење слепог просјака, Вартимеј|Исус и Захеј|Исус предвиђа своју смрт и васкрсење|Исусов тријумфални улазак – Цветна недеља|Исус плаче над Јерусалимом|Исус протерује мењаче новца из храма|Понуда удовице|Ана доводи у питање ауторитет Исуса|Исусова парабола о винограду и закупцима|Плаћање пореза Цезару|Тајна вечера|Исусово поучавање у горњој соби|Јуда издаје Исуса; Исус је ухапшен|Петар се три пута одриче Исуса|Стражари се ругају Исусу; Исус је испитан од стране Верског већа|Исус је доведен Пилату|Исус је доведен Ироду|Исус је бичеван и осуђен на смрт|Исус носи свој крст; Виа Долороса|Исус је распет|Војници се коцкају за Исусову одећу|Знак на крсту: цар јеврејски|Изгубљени и спасени разапети осуђеници|Исусова смрт|Јосиф из Ариматеје и сахрана Исуса|Анђели на гробу|Исусов гроб је празан|Васкрсли Исус се јавља својим ученицима|Исус даје велико поверење и узноси се на небо|Позив да лично упознамо Исуса|Видите шта је Исус рекао|Погледајте филм ИСУС|Изаберите сегмент|Шта вам ово говори о Исусу?|Шта вам ово говори о Богу?|Шта вам ово говори о људима?|Ако је ово истина, каква би то била разлика у вашем животу?|Ко је пет људи са којима можете да поделите своја открића?|Отхер Видеос
Sesotho|sot01|st|Tšimoloho|Tsoalo la Jesu|Bongoana ba Jesu|Kolobetso ya Jesu ka Johanne|Diabolosi O Leka Jesu|Jesu o Bolela Phethahatso ea Hae ea Mangolo ’me oa Hanoa|Setshwantsho sa Jesu sa Mofarisi le Mokgethisi|Mohlolo oa Jesu o Tshoa Litlhapi|Jesu o Tsosetsa Bophelong Morali ea Shoeleng oa Jairuse|Jesu o Khetha Barutuoa ba Hae|Mahlohonolo a Jesu|Thuto ea Thabeng ea Jesu|Ho lehlohonolo ba Utloang, ba Utloang|Jesu O Tshwarela Mosadi wa Moetsadibe|Basali Barutuoa ba Jesu|Johanne Mokolobetsi Chankaneng|Papiso ea Jesu ea Mojali le Peō|Papiso ea Jesu ea Lebone|Jesu O Fokotsa Sefefo|Jesu o folisa ea nang le modemona|Jesu o fepa ba 5 000|Petrose o phatlalatsa hore Jesu ke Kreste|Phetoho ea Jesu|Jesu o Folisa Moshanyana ho Moea o Mobe|Thapelo ya Morena|Jesu o Ruta ka Thapelo le Tumelo|Ho malimabe ba Etsang ba Bang Sebe|'Muso oa Molimo e le Peō ea mosetareta|Jesu o Qeta Nako le Baetsalibe|Pholiso ka Sabatha ea Mosali ea holofalitsoeng ke Moea o Mobe|Papiso ea Mosamaria ea Molemo|Pholiso ea Mokopi oa Sefofu, Bartimea|Jesu le Zakea|Jesu O bolela Esale Lefu la Hae le Tsoho ea Hae|Ho Kena ha Jesu ka Tlhōlo-Sontaha sa Palm|Jesu o llela Jerusalema|Jesu o Leleka Baananyi ba Chelete ka Tempeleng|Nyehelo ea mohlolohali|Anase o Botsa Bolaoli ba Jesu|Papiso ea Jesu ea Tšimo ea Morara le Balemi|Ho Lefa Cesare Lekhetho|Selallo sa ho Qetela|Thuto ea Kamore e ka Holimo ea Jesu|Judase O eka Jesu; Jesu Oa Tšoaroa|Petrose o Latola Jesu ka makhetlo a mararo|Balebeli ba soma Jesu; Jesu o Botsoa ke Lekhotla la Bolumeli|Jesu o Isoa ho Pilato|Jesu o Isoa ho Heroda|Jesu Oa Shapa 'me O Ahloleloa Lefu|Jesu O jere Sefapano sa Hae; Ka Dolorosa|Jesu Oa thakhisoa|Masole a Becha Bakeng sa Liaparo Tsa Jesu|Pontsho Sefapanong: Morena wa Bajuda|Ba Bapotsoeng ba Lahlehile 'me ba Pholositsoe|Lefu la Jesu|Josefa oa Arimathea le Lepato la Jesu|Mangeloi Lebitleng|Lebitla la Jesu ha le na letho|Jesu ea Tsohileng Bafung O Iponahatsa ho Barutuwa ba Hae|Jesu O Fana ka Thomo e Khōlō 'me O nyolohela Leholimong|Memo ea ho Tseba Jesu ka Sebele|Bona seo Jesu a se buileng|Sheba filimi ea JESU|Khetha karolo|See se u bolella eng ka Jesu?|See se u bolella eng ka Molimo?|See se u bolella eng ka batho?|Haeba sena ke 'nete, se ka etsa phapang efe bophelong ba hau?|Ke bo-mang ba bahlano bao u ka arolelanang lintho tseo u li sibolotseng?|Livideo tse ling
Shona|shd00|sn|Kutanga|Kuberekwa kwaJesu|Hudiki hwaJesu|Kubhabhatidzwa kwaJesu naJohane|Dhiyabhorosi Anoedza Jesu|Jesu Anozivisa Kuzadzika Kwake KweMagwaro uye Anorambwa|Mufananidzo waJesu wemuFarisi nemuteresi|Chishamiso chaJesu Kubata Hove|Jesu Anomutsa Mwanasikana waJairosi Akafa|Jesu Anosarudza Vadzidzi Vake|Makomborero aJesu|Mharidzo yepaGomo raJesu|Vakaropafadzwa Vanonzwa uye Vanoteerera|Jesu Anoregerera Mukadzi Mutadzi|Vakadzi Vadzidzi vaJesu|Johani Mubhabhatidzi ari mutirongo|Mufananidzo waJesu weMukushi neMbeu|Mufananidzo waJesu Wemwenje|Jesu Anonyaradza Dutu|Jesu Anoporesa Dhimoni|Jesu Anopa zviuru zvishanu zvekudya|Petro anozivisa kuti Jesu ndiye Kristu|Kushandurwa kwaJesu|Jesu Anoporesa Mukomana Kubva Kumweya Wakaipa|Munyengetero waShe|Jesu Anodzidzisa Nezve Kunyengetera Nokutenda|Vane nhamo Vanoita Kuti Vamwe Vatadze|Umambo hwaMwari seMbeu yemasitadhi|Jesu Anopedza Nguva Nevatadzi|Kuporeswa neSabata kweMukadzi Akaremara neMweya Wakaipa|Mufananidzo wemuSamaria Akanaka|Kuporeswa kweBofu Mupemhi, Bhatimeo|Jesu naZakeo|Jesu Anofanotaura Kufa Kwake uye Kumuka Kuvakafa|Kupinda kwaJesu Kwekukunda-Palm Svondo|Jesu Anochema Jerusarema|Jesu Anodzinga Vaichinja Mari Mutemberi|Chipo cheChirikadzi|Anasi Anobvunza Chiremera chaJesu|Mufananidzo waJesu weMunda Wemizambiringa Nevarimi|Kubhadhara Mutero kuna Kesari|Kudya Kwemanheru Kwokupedzisira|Dzidziso yeMumba yaJesu yepamusoro|Judhasi Anotengesa Jesu; Jesu Anosungwa|Petro Anoramba Jesu Katatu|Varindi Vanoseka Jesu; Jesu Anobvunzwa NeDare Rechitendero|Jesu anouyiswa kuna Pirato|Jesu anouyiswa kuna Herodhi|Jesu anorohwa uye anotongerwa rufu|Jesu Anotakura Muchinjikwa Wake; Via Dolorosa|Jesu Anorovererwa|Varwi Vanobhejera Mbatya dzaJesu|Chiratidzo paMuchinjikwa: Mambo wemaJuda|Vakarovererwa Pamuchinjikwa Vakarasika Uye Vaponeswa|Kufa kwaJesu|Josefa weArimatiya uye Kuvigwa kwaJesu|Ngirozi paguva|Guva raJesu harina chinhu|Jesu Akamutswa Anozviratidza kuVadzidzi Vake|Jesu Anopa Basa Guru uye Anokwira Kudenga|Kukokwa Kuziva Jesu Pachako|Ona zvakataurwa naJesu|Tarisa firimu raJESU|Sarudza chikamu|Izvi zvinokuudzei nezvaJesu?|Izvi zvinokuudzei nezvaMwari?|Izvi zvinokuudzei nezvevanhu?|Kana ichi chiri chokwadi, chingaite musiyano upi muupenyu hwako?|Ndivanaani vashanu vaunogona kugovana navo zvawakawana?|Mamwe Mavhidhiyo
Sindhi|snd00|sd|شروعات|يسوع جي پيدائش|عيسى جو ننڍپڻ|يوحنا پاران عيسى جو بپتسما|شيطان يسوع کي آزمائي ٿو|يسوع پنهنجي ڪتاب جي مڪمل ٿيڻ جو اعلان ڪري ٿو ۽ رد ڪيو ويو آهي|يسوع جو مثال فريسي ۽ ٽيڪس ڪليڪٽر جو|عيسيٰ جو معجزو مڇيءَ جو پڪڙڻ|يسوع جائرس جي مئل ڌيءَ کي جيئرو ڪري ٿو|يسوع پنهنجي شاگردن کي چونڊيندو آهي|يسوع جي بيعت|يسوع جي جبل تي واعظ|برڪت وارا آهن اهي جيڪي ٻڌن ٿا ۽ مڃين ٿا|يسوع گناهگار عورت کي معاف ڪري ٿو|يسوع جون عورتون شاگرد|جيل ۾ يوحنا بپتسما ڏيڻ وارو|يسوع جي ٻج ۽ ٻج جو مثال|يسوع جي چراغ جو مثال|يسوع طوفان کي آرام ڪري ٿو|يسوع شيطان کي شفا ڏيندو آهي|يسوع 5,000 کي کارائي ٿو|پطرس اعلان ڪري ٿو ته عيسى مسيح آهي|يسوع جي تبديلي|يسوع ڇوڪر کي برائي روح کان شفا ڏيندو آهي|رب جي دعا|يسوع دعا ۽ ايمان جي باري ۾ سيکاري ٿو|افسوس انهن لاءِ جيڪي ٻين کي گناهن ۾ وجهن|خدا جي بادشاهي هڪ سرس جي ٻج وانگر|يسوع وقت گذاريندو آهي گنهگارن سان|شيطان جي روح کان معذور عورت جي سبت جي ڏينهن تي شفا|سٺي سامري جو مثال|انڌي فقير جي شفا، بارٽيميس|يسوع ۽ زڪيوس|يسوع پنهنجي موت ۽ قيامت جي اڳڪٿي ڪري ٿو|يسوع جي فتح واري داخلا- پام آچر|يسوع يروشلم تي روئي ٿو|يسوع مندر مان پئسا مٽائيندڙن کي ڪڍي ٿو|بيوه جو نذرانو|اناس سوال اٿارٽي آف يسوع|يسوع انگورن جي باغ ۽ نوڪر جو مثال|قيصر کي ٽيڪس ادا ڪرڻ|آخري رات جي ماني|عيسيٰ جو اپر ڪمرو درس|يھوداہ يسوع کي دغا ڏئي ٿو؛ يسوع کي گرفتار ڪيو ويو آهي|پطرس ٽي ڀيرا يسوع کي رد ڪري ٿو|گارڊ موک عيسيٰ؛ يسوع مذهبي ڪائونسل طرفان سوال ڪيو|يسوع کي پلاطس ڏانهن آندو ويو آهي|يسوع کي هيروديس ڏانهن آندو ويو آهي|يسوع کي ماريو ويو ۽ موت جي سزا ڏني وئي|يسوع پنهنجي صليب کڻندو آهي؛ ڊولوروسا ذريعي|يسوع کي صليب تي چاڙهيو ويو آهي|سپاهي يسوع جي ڪپڙن لاءِ محفل مچائي رهيا آهن|صليب تي نشاني: يهودين جو بادشاهه|صليب تي چڙهندڙ مجرم گم ٿي ويا ۽ بچايو ويو|يسوع جي موت|ارميٿيا جو جوزف ۽ عيسى جو دفن|قبر تي فرشتا|يسوع جي قبر خالي آهي|جيئرو ڪيو ويو يسوع پنهنجي شاگردن ڏانهن ظاهر ٿيو|يسوع عظيم ڪميشن ڏئي ٿو ۽ آسمان ڏانهن وڌي ٿو|يسوع کي ذاتي طور تي ڄاڻڻ جي دعوت|ڏسو ته عيسى ڇا چيو|JESUS ​​فلم ڏسو|حصو چونڊيو|هي توهان کي يسوع بابت ڇا ٻڌائي ٿو؟|هي توهان کي خدا جي باري ۾ ڇا ٻڌائي ٿو؟|اهو توهان کي ماڻهن بابت ڇا ٻڌائي ٿو؟|جيڪڏھن اھو سچ آھي، اھو توھان جي زندگي ۾ ڇا فرق آڻيندو؟|پنج ماڻهو ڪير آهن جن سان توهان پنهنجون دريافتون شيئر ڪري سگهو ٿا؟|ٻيا وڊيوز
Sinhala (Sinhalese)|Sin99|si|ආරම්භය|ජේසුස් වහන්සේගේ උපත|ජේසුස් වහන්සේගේ ළමා කාලය|ජෝන් විසින් ජේසුස් වහන්සේගේ බව්තීස්මය|යක්ෂයා යේසුස්ව පොළඹවයි|යේසුස් ඔහුගේ ශුද්ධ ලියවිල්ල සම්පූර්ණ කිරීම ප්‍රකාශ කරන අතර ප්‍රතික්ෂේප කරනු ලැබේ|පරිසිවරයා සහ බදු එකතු කරන්නා පිළිබඳ යේසුස්ගේ උපමාව|යේසුස්ගේ ආශ්චර්යමත් මාළු ඇල්ලීම|ජේසුස් යායිරස්ගේ මිය ගිය දියණියව නැවත පණගන්වයි|යේසුස් ඔහුගේ ගෝලයන් තෝරා ගනී|ජේසුස් වහන්සේගේ ආශීර්වාද|ජේසුස් වහන්සේගේ කන්ද උඩ දේශනාව|අසා කීකරු වන්නෝ භාග්‍යවන්තයෝ ය|යේසුස් පව්කාර කාන්තාවට සමාව දෙයි|යේසුස්ගේ කාන්තා ගෝලයන්|ජෝන් බැප්ටිස්ට් බන්ධනාගාරයේ|වපුරන්නා සහ බීජය පිළිබඳ යේසුස්ගේ උපමාව|යේසුස්ගේ පහන පිළිබඳ උපමාව|යේසුස් කුණාටුව සන්සුන් කරයි|යේසුස් භූත රෝගය සුව කරයි|යේසුස් 5,000ට පෝෂණය කරයි|පේතෘස් යේසුස් ක්රිස්තුස් බව ප්රකාශ කරයි|යේසුස්ගේ රූපාන්තරණය|යේසුස් නපුරු ආත්මයෙන් පිරිමි ළමයාව සුව කරයි|ස්වාමීන්ගේ යාච්ඤාව|යේසුස් යාච්ඤාව සහ ඇදහිල්ල ගැන උගන්වයි|අනුන් පාපයට පොළඹවන අයට දුක් වේ|අබ ඇටයක් ලෙස දෙවියන් වහන්සේගේ රාජ්යය|යේසුස් පව්කාරයන් සමඟ කාලය ගත කරයි|නපුරු ආත්මයෙන් ආබාධිත වූ කාන්තාව සබත් දින සුව කිරීම|යහපත් සමරිතානුවරයාගේ උපමාව|අන්ධ යාචකයාගේ සුව කිරීම, බාර්ටිමේයස්|යේසුස් සහ සකෙවුස්|යේසුස් ඔහුගේ මරණය හා නැවත නැඟිටීම ගැන අනාවැකි පළ කරයි|ජේසුස් වහන්සේගේ ජයග්‍රාහී ප්‍රවේශය - පාම් ඉරිදා|යේසුස් යෙරුසලම ගැන හඬයි|යේසුස් මුදල් මාරු කරන්නන්ව දේවමාළිගාවෙන් පන්නා දමයි|වැන්දඹුවගේ පූජාව|අන්නාස් ජේසුස් වහන්සේගේ ප්‍රශ්න අධිකාරිය|මිදිවත්ත සහ කුලී නිවැසියන් පිළිබඳ යේසුස්ගේ උපමාව|සීසර්ට බදු ගෙවීම|අවසාන රාත්‍රී භෝජන සංග්‍රහය|ජේසුස් වහන්සේගේ ඉහළ කාමරයේ ඉගැන්වීම|ජුදාස් යේසුස්ව පාවා දෙයි; ජේසු අත්අඩංගුවට|පේතෘස් යේසුස්ව තුන් වතාවක් ප්‍රතික්ෂේප කරයි|ආරක්ෂකයින් යේසුස්ට සමච්චල් කරයි; ජේසුස් වහන්සේ ආගමික සභාව විසින් ප්‍රශ්න කරන ලදී|යේසුස්ව පිලාත් වෙත ගෙන එයි|යේසුස්ව හෙරොද් වෙත ගෙන එයි|ජේසුස් වහන්සේට කසයෙන් තළා මරණ දඬුවම නියම කෙරේ|යේසුස් ඔහුගේ කුරුසය උසුලයි; ඩොලරෝසා හරහා|ජේසුස් වහන්සේ කුරුසියේ ඇණ ගසා ඇත|සොල්දාදුවන් යේසුස්ගේ ඇඳුම් සඳහා සූදුවේ යෙදෙති|කුරුසියේ අත්සන් කරන්න: යුදෙව්වන්ගේ රජු|කුරුසියේ ඇණ ගැසූ වැරදිකරුවන් අහිමි වී ගැලවීම|ජේසුස් වහන්සේගේ මරණය|අරිමාතියේ ජෝසප් සහ ජේසුස් වහන්සේගේ භූමදානය|සොහොන් ගෙය අසල දේවදූතයන්|යේසුස්ගේ සොහොන් ගෙය හිස්ය|නැවත නැඟිටුවනු ලැබූ යේසුස් ඔහුගේ ගෝලයන්ට පෙනී සිටියි|ජේසුස් වහන්සේ ශ්‍රේෂ්ඨ පැවරුමක් ලබා දී ස්වර්ගයට නැග්ගේය|යේසුස්වහන්සේව පෞද්ගලිකව දැනගැනීමට ආරාධනය|යේසුස් කියපු දේ බලන්න|JESUS ​​චිත්‍රපටිය බලන්න|කොටස තෝරන්න|මෙය යේසුස් ගැන ඔබට පවසන්නේ කුමක්ද?|මෙය දෙවියන් ගැන ඔබට පවසන්නේ කුමක්ද?|මිනිසුන් ගැන මෙය ඔබට පවසන්නේ කුමක්ද?|මෙය සත්‍යයක් නම්, එය ඔබගේ ජීවිතයේ ඇති කරන වෙනස කුමක්ද?|ඔබට ඔබේ සොයාගැනීම් බෙදාගත හැකි පුද්ගලයන් පස්දෙනා කවුරුන්ද?|වෙනත් වීඩියෝ
Slovak|slo00|sk|Začiatok|Narodenie Ježiša|Ježišovo detstvo|Krst Ježiša od Jána|Diabol pokúša Ježiša|Ježiš hlása svoje naplnenie Písma a je odmietnutý|Ježišovo podobenstvo o farizejovi a mýtnikovi|Ježišov zázračný úlovok rýb|Ježiš privádza Jairovu mŕtvu dcéru späť k životu|Ježiš si vyberá svojich učeníkov|Ježišove blahoslavenstvá|Kázeň na Ježišovej hore|Blahoslavení tí, ktorí počujú a poslúchajú|Ježiš odpúšťa hriešnej žene|Ženy Ježišove učeníčky|Jána Krstiteľa vo väzení|Ježišovo podobenstvo o rozsievačovi a semene|Ježišovo podobenstvo o lampe|Ježiš upokojuje búrku|Ježiš uzdravuje démonov|Ježiš nakŕmi 5000|Peter vyhlasuje, že Ježiš je Kristus|Ježišovo premenenie|Ježiš uzdravuje chlapca od zlého ducha|Modlitba Pána|Ježiš učí o modlitbe a viere|Beda tým, ktorí iných spôsobujú k hriechu|Kráľovstvo Božie ako horčičné semienko|Ježiš trávi čas s hriešnikmi|Uzdravenie ženy zmrzačenej zlým duchom v sobotu|Podobenstvo o milosrdnom Samaritánovi|Uzdravenie slepého žobráka, Bartimaeus|Ježiš a Zacheus|Ježiš predpovedá svoju smrť a vzkriesenie|Ježišova triumfálna vstupná – Kvetná nedeľa|Ježiš plače nad Jeruzalemom|Ježiš vyháňa zmenárnikov z chrámu|Vdovská obeta|Annáš spochybňuje Ježišovu autoritu|Ježišovo podobenstvo o vinici a nájomníkoch|Platenie daní Caesarovi|Posledná večera|Ježišovo učenie vo vrchnej miestnosti|Judáš zrádza Ježiša; Ježiš je zatknutý|Peter trikrát zaprie Ježiša|Stráže sa posmievajú Ježišovi; Ježiš spochybnený náboženskou radou|Ježiš je privedený k Pilátovi|Ježiš je privedený k Herodesovi|Ježiš je bičovaný a odsúdený na smrť|Ježiš nesie svoj kríž; Cez Dolorosu|Ježiš je ukrižovaný|Vojaci hazardujú o Ježišove šaty|Znamenie na kríži: Kráľ Židov|Ukrižovaní odsúdení stratení a zachránení|Ježišova smrť|Jozefa z Arimatie a pochovanie Ježiša|Anjeli pri hrobe|Ježišova hrobka je prázdna|Vzkriesený Ježiš sa zjavuje svojim učeníkom|Ježiš dáva veľké poverenie a vystupuje do neba|Pozvanie spoznať Ježiša osobne|Pozrite sa, čo povedal Ježiš|Pozrite si film JEŽIŠ|Vyberte segment|Čo ti to hovorí o Ježišovi?|Čo ti to hovorí o Bohu?|Čo vám to hovorí o ľuďoch?|Ak je to pravda, aký rozdiel by to znamenalo vo vašom živote?|S ktorými piatimi ľuďmi sa môžete podeliť o svoje objavy?|Ďalšie videá
Slovenian|slv00|sl|Začetek|Jezusovo rojstvo|Jezusovo otroštvo|Jezusov krst po Janezu|Hudič skuša Jezusa|Jezus razglaša svojo izpolnitev Svetega pisma in je zavrnjen|Jezusova prilika o farizeju in cestninarju|Jezusov čudežni ulov rib|Jezus oživi Jairovo mrtvo hčer|Jezus izbira svoje učence|Jezusovi blagri|Pridiga na Jezusovi gori|Blagor tistim, ki poslušajo in ubogajo|Jezus odpušča grešni ženi|Jezusove učenke|Janeza Krstnika v ječi|Jezusova prilika o sejalcu in semenu|Jezusova prilika o svetilki|Jezus pomiri vihar|Jezus ozdravi demona|Jezus nahrani 5000|Peter razglaša Jezusa za Kristusa|Jezusovo spremenjenje|Jezus ozdravi dečka od hudega duha|Gospodova molitev|Jezus uči o molitvi in ​​veri|Gorje tistim, ki druge spravljajo v greh|Božje kraljestvo kot gorčično zrno|Jezus preživlja čas z grešniki|Zdravljenje v soboto žene, ki jo je pohabil hudi duh|Prilika o usmiljenem Samarijanu|Zdravljenje slepega berača, Bartimej|Jezus in Zahej|Jezus napoveduje svojo smrt in vstajenje|Jezusov zmagoslavni vhod – cvetna nedelja|Jezus joče nad Jeruzalemom|Jezus menjalce izžene iz templja|Vdova daritev|Ana postavlja pod vprašaj Jezusovo avtoriteto|Jezusova prilika o vinogradu in najemnikih|Plačevanje davkov Cezarju|Zadnja večerja|Jezusov nauk v zgornji sobi|Juda izda Jezusa; Jezus je aretiran|Peter se trikrat odreče Jezusu|Stražarji se norčujejo iz Jezusa; Jezusa zasliša verski svet|Jezusa pripeljejo k Pilatu|Jezusa pripeljejo k Herodu|Jezus je bičan in obsojen na smrt|Jezus nosi svoj križ; Via Dolorosa|Jezus je križan|Vojaki kockajo za Jezusova oblačila|Znamenje na križu: judovski kralj|Križani obsojenci izgubljeni in rešeni|Jezusova smrt|Jožef iz Arimateje in Jezusov pokop|Angeli na grobu|Jezusov grob je prazen|Vstali Jezus se prikaže svojim učencem|Jezus daje veliko nalogo in se dvigne v nebesa|Povabilo k osebnemu spoznavanju Jezusa|Poglejte, kaj je rekel Jezus|Oglejte si film JEZUS|Izberite segment|Kaj vam to pove o Jezusu?|Kaj vam to pove o Bogu?|Kaj vam to pove o ljudeh?|Če je to res, kakšno razliko bi to imelo v vašem življenju?|S katerimi petimi ljudmi lahko delite svoja odkritja?|Drugi videoposnetki
